[Header]
Application Name	LCsolution
Version	1.25
Data File Name	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-1a.lcd
Output Date	24.06.2025
Output Time	13:34:54

[File Information]
Type	Data File
Generated	24.06.2025 12:44:38
Generated by	Admin
Modified	24.06.2025 13:05:06
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	24.06.2025 12:45:01
Sample Type	0:Unknown
Level	1
Sample Name	FKE-Cal-FA-2-1a
Sample ID	FKE-Cal-FA-2-1a
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	3
Injection Volume	5

[Original Files]
Data File	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-1a.lcd
Method File	C:\LabSolutions\Data\RWTH\aaaMethodenNEU\Formaldehyd_35grad_Methode_052025.lcm
Batch File	C:\LabSolutions\Data\RWTH\Daniel Ditz\Batch.lcb
Report Format File	C:\LabSolutions\Data\RI+UV-Quantifizierung.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector B
# of Channels	1	1

[Peak Table(Detector A-Ch1)]
# of Peaks	117
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
94	17.206	17.125	17.267	5219610	613125	8.5130	0.0000	 V 			10.925	0	0.000	0.000	0.000	1.006	0.0000	0.0000
95	17.351	17.267	17.425	5515755	581225	9.4900	0.0000	 V 			11.025	64	2356.140	0.000	0.000	1.009	0.0000	0.0000
96	17.481	17.425	17.517	3050480	552470	5.5220	0.0000	 V 			11.116	0	0.000	0.000	0.000	1.008	0.0000	0.0000
97	17.557	17.517	17.683	5260834	535889	9.8170	0.0000	 V 			11.168	0	0.000	0.000	0.000	1.005	0.0000	0.0000
98	17.795	17.683	17.942	7422922	483019	15.3680	0.0000	 V 			11.333	0	0.000	0.000	0.000	1.015	0.0000	0.0000
99	18.008	17.942	18.050	2848641	435566	6.5400	0.0000	 V 			11.481	0	0.000	0.000	0.000	1.013	0.0000	0.0000
100	18.096	18.050	18.175	3095411	416421	7.4330	0.0000	 V 			11.542	0	0.000	0.000	0.000	1.005	0.0000	0.0000
101	18.216	18.175	18.258	1948857	390053	4.9960	0.0000	 V 			11.625	0	0.000	0.000	0.000	1.007	0.0000	0.0000
102	18.283	18.258	18.300	939981	375092	2.5060	0.0000	 V 			11.672	0	0.000	0.000	0.000	1.004	0.0000	0.0000
103	18.337	18.300	18.425	2682366	363284	7.3840	0.0000	 V 			11.709	0	0.000	0.000	0.000	1.003	0.0000	0.0000
104	18.467	18.425	18.517	1803678	334908	5.3860	0.0000	 V 			11.799	0	0.000	0.000	0.000	1.008	0.0000	0.0000
105	18.617	18.517	18.658	2606875	301758	8.6390	0.0000	 V 			11.903	864	173.543	0.000	0.000	1.009	0.0000	0.0000
106	18.680	18.658	18.750	1552608	287693	5.3970	0.0000	 V 			11.946	0	0.000	0.000	0.000	1.004	0.0000	0.0000
107	18.775	18.750	18.808	929968	266678	3.4870	0.0000	 V 			12.012	0	0.000	0.000	0.000	1.006	0.0000	0.0000
108	18.897	18.808	18.983	2521034	240101	10.5000	0.0000	 V 			12.097	0	0.000	0.000	0.000	1.007	0.0000	0.0000
